Student ID,Midsem exam,Practical assignment,Theory assignment,Final exam,Total
110115718,12,11,13,17,53
110148262,8,11,11,17,47
110122235,13,17,18,14,62
110112685,9,13,15,19,56
110115358,20,17,18,29,84
110110258,18,17,12,14,61
110071238,17,11,14,9,51
110039483,19,16,17,11,63
100091374,19,12,20,11,62
110100719,16,13,13,9,51
110083249,19,2,12,13,46
110137586,18,14,15,12,59
110085103,10,12,10,19,51
110051951,5,9,4,16,34
110111750,16,19,18,23,76
100098649,10,11,15,12,48
09900575V,9,20,17,29,75
110003398,14,16,14,29,73
110105839,11,16,18,11,56
110105812,7,12,13,18,50
110060592,17,8,18,12,55
110117909,12,19,19,20,70
110097024,17,14,13,8,52
110109678,10,11,11,13,45
110100455,9,17,19,31,76
110117451,14,20,17,22,73
110117742,18,20,20,30,88
110061396,12,16,15,14,57
08081857N,6,10,8,16,40
110110682,15,14,6,24,59
110120780,14,20,20,32,86
110059749,8,16,12,16,52
110106102,18,12,14,11,55
110109250,13,15,15,17,60
110095832,7,9,8,17,41
110074740,9,14,16,16,55
110118382,12,14,16,17,59
110122050,19,20,18,23,80
110106009,9,10,16,11,46
110059731,13,,,,13
110060503,6,12,13,24,55
110112088,15,14,14,18,61
110094990,10,8,11,19,48
110120673,16,8,9,11,44
110099710,,12,12,11,35
110120925,9,13,10,9,41
110118080,9,15,18,25,67
110084832,14,19,18,24,75
110078942,,,,,0
110066080,14,12,13,5,44
100101839,11,6,12,21,50
110112910,18,20,16,37,91
110119649,20,20,20,39,99
110084555,17,14,15,16,63
110122237,18,15,17,16,66
110103634,9,14,14,19,56
110101661,7,10,10,10,37
100029531,14,19,19,24,76
110095414,19,6,10,13,48
110105828,10,13,,9,32
110105855,11,10,12,10,43
110085102,13,11,15,17,56
110137299,13,19,17,27,76
110105845,11,11,13,14,49
110121989,19,14,16,22,71
110115435,13,15,17,15,60
110105843,7,16,18,16,57
110119988,19,16,16,37,88
110105717,13,15,18,22,68
110120685,16,20,18,29,83
110119246,19,15,15,26,75
110112687,18,16,18,14,66
110110297,8,19,14,21,62
110103371,17,16,15,23,71
110048738,16,20,20,24,81
110067540,6,16,12,,34
110133325,7,9,15,9,40
110105824,10,11,11,13,45
110074770,8,15,19,17,59
110106003,9,11,13,15,48
